source_type,source_file,gstin,party_name,invoice_number,invoice_date,document_type,taxable_value,cgst,sgst,igst,cess,total_tax,invoice_value,original_row
tally,Purchase_details.xlsx [Purchase Register],07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,T461,,Purchase,,,,,,,,"{""Date"": ""2025-04-04 00:00:00"", ""Particulars"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier Address"": ""1490-1493, Gali Pipal Wali, Nai Sarak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""60/2025-26"", ""Supplier Invoice No."": ""T461"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAXFS9006M1ZC"", ""Sales Tax No."": null, ""PAN No."": ""AAXFS9006M"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAAPP0926E1Z3,Vicky Saree Center,869,,Purchase,,,,,,,,"{""Date"": ""2025-04-07 00:00:00"", ""Particulars"": ""Vicky Saree Center"", ""Supplier"": ""Vicky Saree Center"", ""Supplier Address"": ""13, Tiraha, Kinari Bazar, Gali Pranthe Wali,, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""61/2025-26"", ""Supplier Invoice No."": ""869"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAAPP0926E1Z3"", ""Sales Tax No."": null, ""PAN No."": ""AAAPP0926E"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,T1137,,Purchase,,,,,,,,"{""Date"": ""2025-04-07 00:00:00"", ""Particulars"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier Address"": ""1490-1493, Gali Pipal Wali, Nai Sarak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""62/2025-26"", ""Supplier Invoice No."": ""T1137"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAXFS9006M1ZC"", ""Sales Tax No."": null, ""PAN No."": ""AAXFS9006M"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAMFJ9163F1Z1,Jagdish & Sons India LLP,248,,Purchase,,,,,,,,"{""Date"": ""2025-04-08 00:00:00"", ""Particulars"": ""Jagdish & Sons India LLP"", ""Supplier"": ""Jagdish & Sons India LLP"", ""Supplier Address"": ""985-987, 1st Floor, Bhojpura, Maliwara, Central Delhi, Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""63/2025-26"", ""Supplier Invoice No."": ""248"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAMFJ9163F1Z1"", ""Sales Tax No."": null, ""PAN No."": ""AAMFJ9163F"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAMFJ9163F1Z1,Jagdish & Sons India LLP,256,,Purchase,,,,,,,,"{""Date"": ""2025-04-08 00:00:00"", ""Particulars"": ""Jagdish & Sons India LLP"", ""Supplier"": ""Jagdish & Sons India LLP"", ""Supplier Address"": ""985-987, 1st Floor, Bhojpura, Maliwara, Central Delhi, Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""64/2025-26"", ""Supplier Invoice No."": ""256"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAMFJ9163F1Z1"", ""Sales Tax No."": null, ""PAN No."": ""AAMFJ9163F"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,T1307,,Purchase,,,,,,,,"{""Date"": ""2025-04-08 00:00:00"", ""Particulars"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier Address"": ""1490-1493, Gali Pipal Wali, Nai Sarak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""65/2025-26"", ""Supplier Invoice No."": ""T1307"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAXFS9006M1ZC"", ""Sales Tax No."": null, ""PAN No."": ""AAXFS9006M"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,T1504,,Purchase,,,,,,,,"{""Date"": ""2025-04-09 00:00:00"", ""Particulars"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier Address"": ""1490-1493, Gali Pipal Wali, Nai Sarak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""66/2025-26"", ""Supplier Invoice No."": ""T1504"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAXFS9006M1ZC"", ""Sales Tax No."": null, ""PAN No."": ""AAXFS9006M"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,T1577,,Purchase,,,,,,,,"{""Date"": ""2025-04-09 00:00:00"", ""Particulars"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier Address"": ""1490-1493, Gali Pipal Wali, Nai Sarak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""67/2025-26"", ""Supplier Invoice No."": ""T1577"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAXFS9006M1ZC"", ""Sales Tax No."": null, ""PAN No."": ""AAXFS9006M"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAMFJ9163F1Z1,Jagdish & Sons India LLP,337,,Purchase,,,,,,,,"{""Date"": ""2025-04-10 00:00:00"", ""Particulars"": ""Jagdish & Sons India LLP"", ""Supplier"": ""Jagdish & Sons India LLP"", ""Supplier Address"": ""985-987, 1st Floor, Bhojpura, Maliwara, Central Delhi, Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""68/2025-26"", ""Supplier Invoice No."": ""337"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAMFJ9163F1Z1"", ""Sales Tax No."": null, ""PAN No."": ""AAMFJ9163F"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,T1784,,Purchase,,,,,,,,"{""Date"": ""2025-04-10 00:00:00"", ""Particulars"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier Address"": ""1490-1493, Gali Pipal Wali, Nai Sarak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""69/2025-26"", ""Supplier Invoice No."": ""T1784"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAXFS9006M1ZC"", ""Sales Tax No."": null, ""PAN No."": ""AAXFS9006M"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
